time,water_level_m,salinity_ppt,doc_mg_c_l
1850-01-01,0.19404330018337826,5.0,10.0
1850-01-02,0.1832356005290337,5.0,10.0
1850-01-03,0.13147039998760454,5.0,10.0
1850-01-04,0.08864600029599591,5.0,10.0
1850-01-05,0.0696340990515053,5.0,10.0
1850-01-06,0.07293609965087042,5.0,10.0
1850-01-07,0.0421024535492507,5.0,10.0
1850-01-08,0.050825399547610194,5.0,10.0
1850-01-09,0.10330744459289638,5.0,10.0
1850-01-10,0.1275644440848794,5.0,10.0
1850-01-11,0.1759950610026719,5.0,10.0
1850-01-12,0.1539004137797414,5.0,10.0
1850-01-13,0.12326365956592919,5.0,10.0
1850-01-14,0.1115144662805232,5.0,10.0
1850-01-15,0.0932744439024685,5.0,10.0
1850-01-16,0.037198299944456684,5.0,10.0
1850-01-17,0.05178424983015286,5.0,10.0
1850-01-18,0.03747911184254203,5.0,10.0
1850-01-19,0.06414346644621756,5.0,10.0
1850-01-20,0.05207120944530606,5.0,10.0
1850-01-21,0.054744330157190636,5.0,10.0
1850-01-22,0.06105678680322983,5.0,10.0
1850-01-23,0.09290049986800167,5.0,10.0
1850-01-24,0.07587826608798767,5.0,10.0
1850-01-25,0.1394318888843681,5.0,10.0
1850-01-26,0.15990569976599872,5.0,10.0
1850-01-27,0.15764510025888673,5.0,10.0
1850-01-28,0.13110209984207535,5.0,10.0
1850-01-29,0.08421811789172093,5.0,10.0
1850-01-30,0.09940289844999103,5.0,10.0
1850-01-31,0.1255221807243472,5.0,10.0
1850-02-01,0.15348527298516185,5.0,10.0
1850-02-02,0.18409227298088918,5.0,10.0
1850-02-03,0.20120715416080046,5.0,10.0
1850-02-04,0.21635027165700774,5.0,10.0
1850-02-05,0.21315218186669735,5.0,10.0
1850-02-06,0.20328081697357642,5.0,10.0
1850-02-07,0.22428199881051095,5.0,10.0
1850-02-08,0.21284045316654837,5.0,10.0
1850-02-09,0.18405378748309464,5.0,10.0
1850-02-10,0.2047355455083939,5.0,10.0
1850-02-11,0.21714690930174482,5.0,10.0
1850-02-12,0.16985672720081418,5.0,10.0
1850-02-13,0.11290300002047277,5.0,10.0
1850-02-14,0.13488554533850403,5.0,10.0
1850-02-15,0.15711054401809188,5.0,10.0
1850-02-16,0.15639472829310064,5.0,10.0
1850-02-17,0.1354397290281442,5.0,10.0
1850-02-18,0.16477672728640458,5.0,10.0
1850-02-19,0.1651346367564055,5.0,10.0
1850-02-20,0.20798790051275873,5.0,10.0
1850-02-21,0.2105887605848424,5.0,10.0
1850-02-22,0.20939676103839314,5.0,10.0
1850-02-23,0.23236381996863278,5.0,10.0
1850-02-24,0.22453600059835746,5.0,10.0
1850-02-25,0.1905692711816591,5.0,10.0
1850-02-26,0.15534409007985497,5.0,10.0
1850-02-27,0.12904816481422285,5.0,10.0
1850-02-28,0.1734242739132352,5.0,10.0
1850-03-01,0.17123987183262693,5.0,10.0
1850-03-02,0.13792200006554756,5.0,10.0
1850-03-03,0.11667143642976874,5.0,10.0
1850-03-04,0.10655299910005528,5.0,10.0
1850-03-05,0.09806324286386361,5.0,10.0
1850-03-06,0.07607530926444656,5.0,10.0
1850-03-07,0.07220527278430426,5.0,10.0
1850-03-08,0.09927936363877224,5.0,10.0
1850-03-09,0.14871699961136023,5.0,10.0
1850-03-10,0.21624636280497703,5.0,10.0
1850-03-11,0.2424083631470799,5.0,10.0
1850-03-12,0.2136370906026865,5.0,10.0
1850-03-13,0.20077545435664013,5.0,10.0
1850-03-14,0.24319345487086963,5.0,10.0
1850-03-15,0.26100809158469473,5.0,10.0
1850-03-16,0.26769290967515924,5.0,10.0
1850-03-17,0.2656031816620548,5.0,10.0
1850-03-18,0.29526345324680564,5.0,10.0
1850-03-19,0.2760402734539727,5.0,10.0
1850-03-20,0.24691108990196478,5.0,10.0
